Score,Tanks,Truck Heads,Tank Capacity,Tank Duration,Travel Time,Fill Time,Safety Window,Deliveries,Dispatches,Returns,Downtime,Safety Violations,Average Tank Wait,Average Cycle Time,Average Delivery Time,Average Empty Tank Wait
19.54,5,2,520,480,105,90,60,96,97,97,510,0,399.12371134020617,2158.762886597938,1012.34375,546.4948453608248
19.25,5,2,520,480,90,90,60,96,97,97,510,0,424.9484536082474,2157.5257731958764,997.5,549.8969072164948
16.73,4,2,520,480,105,120,60,96,99,97,600,0,280.0,1725.3092783505156,968.90625,246.95876288659792
16.44,4,2,520,480,90,120,60,96,99,97,600,0,304.8484848484849,1724.2268041237114,954.0625,251.44329896907217
16.14,4,2,520,480,75,120,60,96,99,97,600,0,329.6969696969697,1723.1443298969073,939.21875,255.9278350515464
13.42,4,2,520,480,105,90,60,96,99,97,630,0,308.7878787878788,1725.3092783505156,968.59375,249.1237113402062
13.13,4,2,520,480,90,90,60,96,99,97,630,0,333.6363636363636,1724.2268041237114,953.75,253.60824742268042
7.66,6,2,520,480,75,90,60,95,96,96,570,0,479.0625,2602.8125,1089.3157894736842,854.6875
0.7,4,2,520,480,75,90,60,96,98,97,750,0,372.55102040816325,1723.9175257731958,931.25,257.0103092783505
0,3,2,520,480,75,90,30,88,89,88,1680,0,394.55056179775283,1433.3522727272727,708.4090909090909,161.42045454545453
0,3,2,520,480,75,90,60,88,89,88,3390,0,375.3370786516854,1433.3522727272727,698.1818181818181,190.73863636363637
0,3,2,520,480,75,120,30,88,89,88,1650,0,365.2247191011236,1433.3522727272727,708.4090909090909,160.39772727272728
0,3,2,520,480,75,120,60,88,89,88,3360,0,345.6741573033708,1433.3522727272727,698.1818181818181,190.0568181818182
0,3,2,520,480,90,90,30,88,89,88,1680,0,370.1123595505618,1434.2045454545455,723.4090909090909,156.47727272727272
0,3,2,520,480,90,90,60,88,89,88,3390,0,350.8988764044944,1434.2045454545455,713.1818181818181,185.79545454545453
0,3,2,520,480,90,120,30,88,89,88,1650,0,340.7865168539326,1434.2045454545455,723.4090909090909,155.45454545454547
0,3,2,520,480,90,120,60,88,89,88,3360,0,321.23595505617976,1434.2045454545455,713.1818181818181,185.11363636363637
0,3,2,520,480,105,90,30,88,89,88,1680,0,345.6741573033708,1435.0568181818182,738.4090909090909,151.5340909090909
0,3,2,520,480,105,90,60,88,89,88,3390,0,326.46067415730334,1435.0568181818182,728.1818181818181,180.85227272727272
0,3,2,520,480,105,120,30,88,89,88,1650,0,316.34831460674155,1435.0568181818182,738.4090909090909,150.51136363636363
0,3,2,520,480,105,120,60,88,89,88,3360,0,296.7977528089888,1435.0568181818182,728.1818181818181,180.17045454545453
0,3,3,520,480,75,90,30,89,90,88,1680,0,408.8333333333333,1432.6704545454545,711.7415730337078,142.32954545454547
0,3,3,520,480,75,90,60,89,90,88,3390,0,394.8333333333333,1432.5,701.2921348314607,166.5340909090909
0,3,3,520,480,75,120,30,89,90,88,1650,0,379.5,1432.6704545454545,711.7415730337078,141.64772727272728
0,3,3,520,480,75,120,60,89,90,88,3360,0,365.1666666666667,1432.5,701.2921348314607,166.1931818181818
0,3,3,520,480,90,90,30,89,90,88,1680,0,384.6666666666667,1433.5227272727273,726.7415730337078,137.38636363636363
0,3,3,520,480,90,90,60,89,90,88,3390,0,375.3333333333333,1433.1818181818182,716.2921348314607,156.8181818181818
0,3,3,520,480,90,120,30,89,90,88,1650,0,355.3333333333333,1433.5227272727273,726.7415730337078,136.70454545454547
