Time,Day,Event,Truck,Tank,Truck State,Tank State,Truck Location,Tank Location
20805,15,TRUCK_ARRIVED,2,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
20805,15,TRUCK_ARRIVED,3,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
20865,15,TANK_EMPTY,,1,,EMPTY_AT_C,,POINT_C
20865,15,TRUCK_RETURN_DEPARTED,4,1,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
20970,15,TRUCK_RETURN_ARRIVED,4,1,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
20970,15,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
21090,15,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
21225,15,SUPPLY_STARTED,,2,,SUPPLYING,,POINT_C
21285,16,TANK_EMPTY,,6,,EMPTY_AT_C,,POINT_C
21600,16,WORKDAY_STARTED,,,,,,
21600,16,TRUCK_DEPARTED,4,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
21600,16,TRUCK_RETURN_DEPARTED,5,6,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
21645,16,SUPPLY_STARTED,,3,,SUPPLYING,,POINT_C
21705,16,TANK_EMPTY,,2,,EMPTY_AT_C,,POINT_C
21705,16,TRUCK_ARRIVED,4,1,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
21705,16,TRUCK_RETURN_ARRIVED,5,6,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
21705,16,TRUCK_RETURN_DEPARTED,1,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
21705,16,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
21810,16,TRUCK_RETURN_ARRIVED,1,2,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
21810,16,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
21825,16,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
21930,16,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
21960,16,DISPATCH_READY,,,,,,
21960,16,TRUCK_DEPARTED,5,6,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
21960,16,TRUCK_DEPARTED,1,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
22065,16,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
22065,16,TRUCK_ARRIVED,5,6,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
22065,16,TRUCK_ARRIVED,1,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
22125,16,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
22125,16,TRUCK_RETURN_DEPARTED,2,3,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
22230,16,TRUCK_RETURN_ARRIVED,2,3,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
22230,16,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
22350,16,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
22485,16,SUPPLY_STARTED,,5,,SUPPLYING,,POINT_C
22545,16,TANK_EMPTY,,4,,EMPTY_AT_C,,POINT_C
22905,17,SUPPLY_STARTED,,1,,SUPPLYING,,POINT_C
22965,17,TANK_EMPTY,,5,,EMPTY_AT_C,,POINT_C
23040,17,WORKDAY_STARTED,,,,,,
23040,17,TRUCK_RETURN_DEPARTED,3,4,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
23040,17,TRUCK_RETURN_DEPARTED,4,5,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
23145,17,TRUCK_RETURN_ARRIVED,3,4,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
23145,17,TRUCK_RETURN_ARRIVED,4,5,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
23145,17,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
23145,17,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
23220,17,DISPATCH_READY,,,,,,
23220,17,TRUCK_DEPARTED,2,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
23265,17,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
23265,17,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
23265,17,TRUCK_DEPARTED,3,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
23265,17,TRUCK_DEPARTED,4,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
23325,17,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
23325,17,TRUCK_ARRIVED,2,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
23370,17,TRUCK_ARRIVED,3,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
23370,17,TRUCK_ARRIVED,4,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
23385,17,TANK_EMPTY,,1,,EMPTY_AT_C,,POINT_C
23385,17,TRUCK_RETURN_DEPARTED,5,1,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
23490,17,TRUCK_RETURN_ARRIVED,5,1,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
23490,17,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
23610,17,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
23640,17,DISPATCH_READY,,,,,,
23640,17,TRUCK_DEPARTED,5,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
23745,17,SUPPLY_STARTED,,2,,SUPPLYING,,POINT_C
23745,17,TRUCK_ARRIVED,5,1,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
23805,17,TANK_EMPTY,,6,,EMPTY_AT_C,,POINT_C
24165,18,SUPPLY_STARTED,,3,,SUPPLYING,,POINT_C
24225,18,TANK_EMPTY,,2,,EMPTY_AT_C,,POINT_C
24480,18,WORKDAY_STARTED,,,,,,
24480,18,TRUCK_RETURN_DEPARTED,1,6,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
24480,18,TRUCK_RETURN_DEPARTED,2,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
24585,18,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
24585,18,TRUCK_RETURN_ARRIVED,1,6,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
24585,18,TRUCK_RETURN_ARRIVED,2,2,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
24585,18,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
24585,18,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
24645,18,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
24645,18,TRUCK_RETURN_DEPARTED,3,3,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
24705,18,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
24705,18,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
24750,18,TRUCK_RETURN_ARRIVED,3,3,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
24750,18,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
24870,18,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
24900,18,DISPATCH_READY,,,,,,
24900,18,TRUCK_DEPARTED,1,6,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
24900,18,TRUCK_DEPARTED,2,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
24900,18,TRUCK_DEPARTED,3,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
25005,18,SUPPLY_STARTED,,5,,SUPPLYING,,POINT_C
25005,18,TRUCK_ARRIVED,1,6,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
25005,18,TRUCK_ARRIVED,2,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
25005,18,TRUCK_ARRIVED,3,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
25065,18,TANK_EMPTY,,4,,EMPTY_AT_C,,POINT_C
25065,18,TRUCK_RETURN_DEPARTED,4,4,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
25170,18,TRUCK_RETURN_ARRIVED,4,4,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
25170,18,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
25290,18,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
25425,18,SUPPLY_STARTED,,1,,SUPPLYING,,POINT_C
25485,18,TANK_EMPTY,,5,,EMPTY_AT_C,,POINT_C
25845,19,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
25905,19,TANK_EMPTY,,1,,EMPTY_AT_C,,POINT_C
25920,19,WORKDAY_STARTED,,,,,,
25920,19,TRUCK_RETURN_DEPARTED,5,5,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
25920,19,TRUCK_RETURN_DEPARTED,1,1,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
26025,19,TRUCK_RETURN_ARRIVED,5,5,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
26025,19,TRUCK_RETURN_ARRIVED,1,1,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
26025,19,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
26025,19,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
26145,19,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
26145,19,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
26160,19,DISPATCH_READY,,,,,,
26160,19,TRUCK_DEPARTED,4,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
26160,19,TRUCK_DEPARTED,5,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
26160,19,TRUCK_DEPARTED,1,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
26265,19,SUPPLY_STARTED,,2,,SUPPLYING,,POINT_C
26265,19,TRUCK_ARRIVED,4,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
26265,19,TRUCK_ARRIVED,5,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
26265,19,TRUCK_ARRIVED,1,1,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
26325,19,TANK_EMPTY,,6,,EMPTY_AT_C,,POINT_C
26325,19,TRUCK_RETURN_DEPARTED,2,6,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
26430,19,TRUCK_RETURN_ARRIVED,2,6,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
26430,19,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
26550,19,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
26580,19,DISPATCH_READY,,,,,,
26580,19,TRUCK_DEPARTED,2,6,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
26685,19,SUPPLY_STARTED,,3,,SUPPLYING,,POINT_C
26685,19,TRUCK_ARRIVED,2,6,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
26745,19,TANK_EMPTY,,2,,EMPTY_AT_C,,POINT_C
27105,20,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
27165,20,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
27360,20,WORKDAY_STARTED,,,,,,
27360,20,TRUCK_RETURN_DEPARTED,3,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
